iter	Logloss
160	0.5752009232
161	0.5751848799
162	0.5751666866
163	0.5751260872
164	0.5751075522
165	0.5750712205
166	0.5750537908
167	0.5750319272
168	0.5749869335
169	0.5749408924
170	0.5749206037
171	0.5748832334
172	0.5748198811
173	0.5747955658
174	0.5747676838
175	0.5747420096
176	0.574717566
177	0.5746895825
178	0.5746485381
179	0.5746233043
180	0.5746040971
181	0.5745686612
182	0.5745418794
183	0.5745148153
184	0.5744940298
185	0.574472433
186	0.5744685784
187	0.5744411325
188	0.5744175784
189	0.5743855313
190	0.5743645168
191	0.574353984
192	0.5743242243
193	0.5742995659
194	0.5742850891
195	0.5742621959
196	0.5742421624
197	0.5742200416
198	0.5742052053
199	0.574192164
200	0.5741120734
201	0.5740896187
202	0.5740687177
203	0.5740526474
204	0.5740363899
205	0.5740158634
206	0.5740023636
207	0.5739826642
208	0.57396203
209	0.5739433287
210	0.5739280676
211	0.5739105889
212	0.5738637441
213	0.5738462135
214	0.5738296499
215	0.5738139223
216	0.5737962913
217	0.5737724543
218	0.5737627971
219	0.5737489252
220	0.5737224053
221	0.5736992088
222	0.5736781355
223	0.5736553
224	0.5736273561
225	0.5736147922
226	0.5735943887
227	0.5735804558
228	0.5735594856
229	0.5735368704
230	0.573522294
231	0.5735071117
232	0.5734923331
233	0.5734692394
234	0.573449486
235	0.5734299458
236	0.5734108546
237	0.5733932904
238	0.5733751586
239	0.5733627244
240	0.5733475039
241	0.5733053656
242	0.5732860193
243	0.5732638778
244	0.5732512379
245	0.5732351277
246	0.5732122517
247	0.5732006254
248	0.5731809647
249	0.5731592583
250	0.5731243743
251	0.5731057167
252	0.5730836961
253	0.5730619355
254	0.573049128
255	0.5730389194
256	0.5730312947
257	0.5730081922
258	0.5729950801
259	0.5729849513
260	0.572976019
261	0.5729615488
262	0.5729481627
263	0.5729350913
264	0.572916973
265	0.5729001392
266	0.5728911698
267	0.572880973
268	0.5728732884
269	0.5728604406
270	0.5728447243
271	0.572829821
272	0.5728167536
273	0.5727991683
274	0.5727861084
275	0.5727662623
276	0.5727564383
277	0.572753912
278	0.5727305523
279	0.5727240505
280	0.5727119377
281	0.5726924315
282	0.5726780512
283	0.5726674896
284	0.5726587479
285	0.5726380018
286	0.5726210838
287	0.5726092709
288	0.5725895895
289	0.5725730728
290	0.5725513898
291	0.5725420149
292	0.5725310426
293	0.5725138666
294	0.5724998466
295	0.572483077
296	0.5724694736
297	0.5724505469
298	0.5724367004
299	0.5724227509
300	0.5724123157
301	0.5723949875
302	0.572386127
303	0.5723764744
304	0.5723470957
305	0.5723369445
306	0.5723015606
307	0.5722918205
308	0.5722821116
309	0.5722716156
310	0.5722712146
311	0.5722589149
312	0.5722395003
313	0.5722216073
314	0.5722118762
315	0.572198147
316	0.5721668594
317	0.5721385346
318	0.5721228762
319	0.5721110679
320	0.5720800428
321	0.5720624496
322	0.5720548343
323	0.5720445215
324	0.5720282013
325	0.5720140366
326	0.5719983786
327	0.5719924665
328	0.5719827746
329	0.5719714489
330	0.5719567047
331	0.5719500953
332	0.5719310633
333	0.5719222898
334	0.5719178103
335	0.5719081604
336	0.5718952252
337	0.5718817211
338	0.5718702069
339	0.5718628514
340	0.5718519849
341	0.5718412924
342	0.5718207073
343	0.5718159543
344	0.5718023519
345	0.5717892285
346	0.571776537
347	0.5717561795
348	0.5717476676
349	0.5717399118
350	0.5717361728
351	0.5717188974
352	0.571704417
353	0.5716882878
354	0.571682902
355	0.5716801919
356	0.5716684557
357	0.571661899
358	0.5716509974
359	0.5716441175
360	0.571636775
361	0.5716281063
362	0.5716059549
363	0.5715923774
364	0.5715905509
365	0.5715903795
366	0.5715797128
367	0.5715735753
368	0.5715612205
369	0.5715509282
370	0.5715419804
371	0.5715082167
372	0.5714821692
373	0.5714475467
374	0.571445359
375	0.5714342945
376	0.5714307315
377	0.5714142363
378	0.5714068814
379	0.571391713
380	0.5713839651
381	0.5713711023
382	0.5713586008
383	0.5713435739
384	0.5713364254
385	0.5713283613
386	0.5713126159
387	0.5713120432
388	0.5712962425
389	0.5712866713
390	0.5712825753
391	0.5712723783
392	0.5712619585
393	0.5712501045
394	0.571237392
395	0.5712251214
396	0.5712157962
397	0.5711993339
398	0.5711879936
399	0.5711696117
400	0.5711523954
401	0.5711458131
402	0.5711321456
403	0.5711260556
404	0.5711156415
405	0.5711013008
406	0.5710958193
407	0.5710759232
408	0.5710634772
409	0.5710523493
410	0.5710432921
411	0.5710312941
412	0.5710253028
413	0.5710088696
414	0.5709999483
415	0.5709933033
416	0.5709854059
417	0.5709786475
418	0.570966093
419	0.5709640008
420	0.570948178
421	0.5709332197
422	0.5709282793
423	0.5709153909
424	0.5709011276
425	0.5708934139
426	0.5708876326
427	0.5708751353
428	0.5708539856
429	0.570839907
430	0.5708316946
431	0.5708250761
432	0.5708138405
433	0.5707899986
434	0.5707790263
435	0.5707659017
436	0.5707572877
437	0.5707441707
438	0.5707251682
439	0.5707148335
440	0.5707040445
441	0.5706986935
442	0.5706871428
443	0.5706725519
444	0.5706641901
445	0.5706539704
446	0.5706464864
447	0.5706390543
448	0.5706205
449	0.5706138497
450	0.5705962968
451	0.5705901387
452	0.5705780034
453	0.5705631788
454	0.570553115
455	0.5705354928
456	0.5705318688
457	0.5705165823
458	0.5705057019
459	0.5704899803
460	0.570470709
461	0.5704573727
462	0.5704395783
463	0.5704230142
464	0.5703960865
465	0.5703762034
466	0.5703719593
467	0.5703565276
468	0.5703431547
469	0.5703380798
470	0.5703187246
471	0.5703087756
472	0.5702907611
473	0.5702829762
474	0.5702590059
475	0.5702550188
476	0.5702467105
477	0.5702275916
478	0.5702157082
479	0.5702015754
480	0.5701990277
481	0.5701798066
482	0.5701691813
483	0.5701582874
484	0.5701502824
485	0.5701305069
486	0.5701175434
487	0.5700989238
488	0.5700793553
489	0.5700697263
490	0.570060194
491	0.5700417177
492	0.5700286727
493	0.5700209917
494	0.5699964382
495	0.5699839761
496	0.5699738315
497	0.5699720641
498	0.5699580801
499	0.5699410923
500	0.5699211789
501	0.5699035582
502	0.5698902707
503	0.5698757914
504	0.5698690057
505	0.5698680416
506	0.5698509374
507	0.5698358422
508	0.569816364
509	0.5698012512
510	0.5697985403
511	0.569796018
512	0.5697865412
513	0.5697815304
514	0.5697661604
515	0.5697478216
516	0.5697437168
517	0.5697261859
518	0.5697169624
519	0.5696989554
520	0.5696805579
521	0.5696698074
522	0.5696621908
523	0.5696506314
524	0.5696451898
525	0.5696435307
526	0.5696342409
527	0.5696321938
528	0.5696157326
529	0.569606388
530	0.5695947261
531	0.5695783702
532	0.5695664681
533	0.5695510013
534	0.5695500894
535	0.5695357023
536	0.5695224363
537	0.5695147419
538	0.5695055359
539	0.5695041212
540	0.5694880532
541	0.5694747106
542	0.5694561098
543	0.5694470333
544	0.5694400275
545	0.5694321833
546	0.5694190461
547	0.5694116302
548	0.5693889159
549	0.5693693363
550	0.5693647639
551	0.56934963
552	0.5693382113
553	0.5693295819
554	0.5693205344
555	0.5693046092
556	0.5692883151
557	0.5692766818
558	0.5692653506
559	0.5692524075
560	0.5692434621
561	0.5692419531
562	0.5692306332
563	0.5692172616
564	0.5692033734
565	0.5691877989
566	0.569176737
567	0.5691628894
568	0.5691585182
569	0.5691430065
570	0.5691277044
571	0.5691151447
572	0.5691140858
573	0.5691125605
574	0.5691113979
575	0.5691097203
576	0.5691049165
577	0.5690914992
578	0.5690773891
579	0.5690756556
580	0.5690734013
581	0.5690640898
582	0.5690625002
583	0.5690469457
584	0.5690287694
585	0.5690134035
586	0.5689940893
587	0.5689916063
588	0.5689788612
589	0.5689746553
590	0.5689736299
591	0.5689630588
592	0.5689584679
593	0.5689445365
594	0.5689346851
595	0.5689168012
596	0.5689106749
597	0.5688955047
598	0.5688830536
599	0.5688753344
600	0.568862599
601	0.5688495797
602	0.5688379019
603	0.5688230812
604	0.5688215176
605	0.568809916
606	0.5687920468
607	0.5687805848
608	0.5687670829
609	0.5687498822
610	0.5687443511
611	0.5687329937
612	0.5687317866
613	0.5687261633
614	0.5687160036
615	0.5687138654
616	0.5687018005
617	0.5686876542
618	0.56867276
619	0.5686663599
620	0.5686627307
621	0.5686619043
622	0.568654994
623	0.5686466265
624	0.5686279063
625	0.5686150128
626	0.5686067051
627	0.5685985791
628	0.5685923249
629	0.5685834976
630	0.568580844
631	0.5685682245
632	0.5685578007
633	0.5685532978
634	0.5685379103
635	0.5685271976
636	0.5685168973
637	0.5685036901
638	0.5684863982
639	0.5684815548
640	0.5684693367
641	0.568449575
642	0.5684413529
643	0.5684366618
644	0.5684349306
645	0.5684146356
646	0.5683997612
647	0.5683869291
648	0.5683720571
649	0.5683562579
650	0.5683347126
651	0.568328557
652	0.5683226334
653	0.5683215506
654	0.5683084449
655	0.5683019246
656	0.5682988592
657	0.5682800435
658	0.568266434
659	0.5682531356
660	0.5682394083
661	0.5682317843
662	0.5682129658
663	0.5681986147
664	0.5681879671
665	0.5681767057
666	0.5681648076
667	0.5681536489
668	0.5681415829
669	0.5681371753
670	0.5681287376
671	0.5681249462
672	0.5681188077
673	0.5681049577
674	0.5681020502
675	0.5680898232
676	0.5680819899
677	0.5680742328
678	0.5680609493
679	0.5680472312
680	0.5680380622
681	0.5680270307
682	0.5680253639
683	0.568023814
